id,TotalStreamCounts,PeakStreamCounts,PeakPosition
0ljbDAWHXvX6Fbqy2qs98U,1426952.0,144562.0,7.0
0mc8HGMSYoMxRuJma5bslY,46708.0,46708.0,107.0
0mhfW8VkkCQBUSDqHJKJnA,229748.0,115611.0,134.0
0mjCVMElNTISeFwF2VdWJ3,1772300.0,125857.0,76.0
0o3rCh03ubOUAEI972qpU5,738565.0,171722.0,122.0
0oL2jCTf9P9a7flY5mCpYu,2691779.0,252413.0,96.0
0oSc7X1uRQGuEqNRtXEeQL,8586041.0,2230677.0,1.0
0pavLg3wbL6PVXAgXoWv4S,407720.0,237076.0,119.0
0phm7GkRTCRI9OQqTJvG6q,616066.0,203972.0,55.0
0piLGIj0C7RR4B2gowEqmO,1305767.0,34901.0,59.0
0s3OUtMwTA79PkhDHUtfp3,88593.0,28990.0,72.0
0s7RyyUlQfd8mnnboHe18n,17587916.0,617169.0,20.0
0s7wXifcEHCo9OgELbNv8d,1443039.0,35978.0,4.0
0sVd1ZavOfbqd5AHspc1Tr,1402311.0,81076.0,76.0
0tGmDUHDoT8pxYhgAT3yNG,10473902.0,876822.0,8.0
0tRpWjAPI6SCNcOMQGw4z5,221806.0,110978.0,139.0
0tfMfqHC3Pl6DG8kcIjXq9,107186.0,107186.0,200.0
0uRpE3YtszcI37nUSBusmq,94019.0,94019.0,98.0
0vXAYEWak7KiyGdbth8Gz6,2951722.0,286428.0,75.0
0x5BqH8iC2Y2lTMxAkNAna,1777976.0,290681.0,21.0
0xi7bCx9m2rgPbCN6Xhlel,211222.0,59590.0,107.0
0y4JreJemfzXhr3NkKCm5g,54530.0,54530.0,173.0
0ymILt2M0bSmIr6wQzodN0,272316.0,81085.0,80.0
0zCGKGZB5aySnQQSHWRGIT,823677.0,156291.0,9.0
10AZ3ChoIGMxvcCoFsoFjf,450221.0,174237.0,110.0
11OxuU5y7ebAJyKaY8dOl0,3017900.0,133816.0,104.0
11hcyWq7qSwBE3bvv5Ialn,8872941.0,175516.0,67.0
129tzbtZ8PRLVo33ymZigS,52567.0,26640.0,183.0
12rIwDpMKwx77nV5O998nB,2693304.0,378885.0,41.0
12t0f9NV6eEQXX8SPaI6AJ,261428.0,75362.0,88.0
12u5BtXNMTifuzasyXzbOU,164106.0,164106.0,156.0
1465dD5VklIYHkKfcfirkU,2396239.0,405829.0,36.0
1503Da6qbgNifRnRwIjtZe,4683771.0,178359.0,1.0
15yC0BCinDyknKpjk0VLku,31786.0,31786.0,194.0
170CNv2CAZn8wg6GxvHXYC,521408.0,110408.0,141.0
17vw2n25C8g7KKCilJ3pER,1410715.0,118832.0,68.0
18iADruKMXIloyA9vCJXFE,7065889.0,267757.0,56.0
193luTcDfusSUv3yqs1gGj,1565636.0,497361.0,11.0
194xS2oTIYL5u1IK0Q0oj0,1162195.0,155397.0,62.0
1As8r6FTcDZDSKndGtJHMm,3960522.0,364302.0,51.0
1As8r6FTcDZDSKndGtJHMm,3960522.0,54899.0,48.0
1DkYLzjwHaesQYObT2c3X2,336804.0,203041.0,75.0
1DmMJL7KrTEC5MDTvYpfLD,207130.0,91600.0,52.0
1Dyf0sRNi4bns4TeWgKpVY,4280952.0,99537.0,39.0
1EmMFSLRVkOszCa4ul9z0F,32555420.0,312899.0,1.0
1GJ3suxtUVaguVQRemw6Zp,15498836.0,261068.0,74.0
1Gqm6KaobG2A1mFVjGnJsS,167152.0,167152.0,166.0
1HWa2i5mZzs2VImVqwwfuI,1796702.0,156852.0,64.0
1He7z9P4RbIAa0rNCUaIMN,726408.0,201120.0,104.0
1IyaXs95EqH8emANUrhRwH,213443.0,28673.0,110.0
1J12HjUuXfJnaUdubTEzSR,30769154.0,423511.0,35.0
1K0HQ30Wc11okzlcnFA7Ub,41461432.0,936223.0,7.0
1K3CXUYKhLYN7koLW5WQjX,12997214.0,641803.0,5.0
1LxaXT8hwdBWSNpOqTjF8R,4746980.0,403320.0,13.0
1MU2oGnL6EdBDQ02wVUOMX,6595.0,6595.0,94.0
1MiJk3dXC5jzhvLFP0dUM7,33555826.0,370936.0,1.0
1OcT17F9VeSAvLBlk4GBc8,170690.0,170690.0,173.0
1QKaj0g8pammcGn0JU8nnd,867864.0,218638.0,38.0
1QwSqNlknVSTdmmtjsOGM9,506907.0,114748.0,43.0
1R1AFI3iNOYr0pGHwjFQBG,8513886.0,240540.0,106.0
1RGA13K66cABN7nYek6WNk,5613625.0,276968.0,17.0
1RQ4efnLx0zyowptKD5JEa,153159.0,153159.0,195.0
1RRMwNycLH4pOgpdLj0iFk,152470.0,21857.0,17.0
1Rl6XZjjYq7zBJGALyGTZH,1016112.0,171722.0,122.0
1SIbk8ESYxiPiYjzLG01m4,122264.0,122264.0,118.0
1SzlLbTE7hTs75M2R1a1Tg,2786838.0,87729.0,32.0
1TJtZKZFq2rdh9Wfpm15Nw,744043.0,210400.0,48.0
1TcmqSx576eBcuTxTtcEAk,2815143.0,390732.0,42.0
1UDAnignfiklanSQ6MfPUE,86968.0,86968.0,106.0
1UL2QMgWPeNCJhznvr99Jk,409007.0,37241.0,137.0
1UQNU5O9VttUgO16pxUnjw,8656651.0,325096.0,57.0
1Vla7vXcM0zimotYpresDT,10337947.0,526510.0,7.0
1W5kZCi3DyAwUu1flTIHdZ,222385.0,114920.0,183.0
1WCAkmmTM06in2ojuQ9CK5,1575866.0,221243.0,9.0
1X0cRJUAsFhEnaBhs4H7Yj,70754.0,38545.0,125.0
1XEOrZGHhmBxYciyWkkrs3,373101.0,146787.0,75.0
1ZSwYD21wiQCx3VYrnQHMm,285476.0,165295.0,111.0
1ZgiJ8fiSEwd07OpB9ZuRz,3822518.0,400521.0,15.0
1ZrADntHAYV84R2y1Op3Eg,2358694.0,90792.0,1.0
1ahMIChLwnLRGDu5AhMWZI,350585.0,183037.0,160.0
1aw1KeS9sT1mKPzs2hfqCz,836275.0,26090.0,140.0
1bG6Q8sR8jda7ryI365y8o,32779827.0,1678086.0,1.0
1bRsQtD0IJN7D0aCslMg44,355663.0,136887.0,89.0
1dMJhYvyH7I4RGcLUWAg3p,100274.0,11630.0,39.0
1dUmmBh2nw8XzEI3au0uFs,21000425.0,289666.0,4.0
1eXc2ZMStMsQ5cuUrFCnlO,525685.0,161461.0,82.0
1efLujNOuRkB1zwpNKGeea,81189.0,46302.0,121.0
1fFvYVg1v3rpUSqKNCUh7b,657375.0,138657.0,173.0
1fMLlneaBGENo5jhG1nZrM,31855.0,31855.0,119.0
1hyDeosKOqqI4YcqFgzNlQ,316445.0,105325.0,92.0
1izPmgSW7FV6XFdEOiTvOY,23863739.0,238224.0,27.0
1j18WxScysqcVZnCSc90nV,46873.0,46873.0,184.0
1jtrGtWxnZUeKtSN4Xxh1e,264688.0,43996.0,174.0
1lNJbioKb7Zue9sf2wcaWN,65476.0,38786.0,115.0
1m4BSQjgXAfoR4dBAapAr7,3817538.0,160862.0,135.0
1mKDbug8bbfDmLe7I4CJpe,20505375.0,221112.0,2.0
1n5vwy1usk9prr2Yuh9Lt8,82337.0,45370.0,111.0
1nut0CDNqlXFtV4U3Md5ds,257076.0,74052.0,83.0
1o6cYDMHvKOfizi4d9Lqxr,33653227.0,708196.0,3.0
1ojUtV3R0T0fKfFaAiCT2S,32675.0,32675.0,193.0
1pJ2smpPxbfAYqPsrbcXFP,46993.0,25081.0,141.0
1pQHqk6qWM5xbNeobMCGBZ,3365626.0,275246.0,3.0
1pwyiEOvhXLvlpzTZcgfhe,1510144.0,291815.0,53.0
1q83e1qvjHBPCgOvdGSKZ0,225110.0,117051.0,141.0
1q83e1qvjHBPCgOvdGSKZ0,225110.0,25781.0,65.0
1rCurScVWswOm8jVmCOLxn,95456.0,51000.0,135.0
1rJyVbXb3njXbN3lokllKf,539998.0,27638.0,114.0
1reHbbphR273qQ651F6Vna,238731.0,33168.0,6.0
1u3aGopt09bxmUDs8c94XY,575622.0,113419.0,169.0
1vtQjPCcdE7FgrxQd5doWP,1180799.0,38429.0,100.0
1w3eUC89GPspKpi62tPwjt,22103822.0,287727.0,2.0
1wG0HYACxdu3Kdz3mI4ca6,369298.0,196045.0,136.0
1wl7BgRuEYJfmINb0ncS5b,214987.0,40484.0,122.0
1wmYHps3Ww2wfG6FEmjzuX,71549.0,23822.0,48.0
1xoadYaxtOp9gHDwgmPDuz,38194079.0,323601.0,3.0
1yo967mk7CpjvruNxBecOY,9652121.0,258426.0,22.0
1zzCiwKpbS6zNC3OAdejd2,5338031.0,533835.0,15.0
20jc2qrUesWnyDYnWq0XW8,2172533.0,194609.0,152.0
21x7Ld7I7X7HQtDgS8al5Z,2481942.0,410135.0,35.0
226ljdOTLM2clGpm4mZvAm,10289011.0,572865.0,16.0
229P16G6GFOCDUNiUNusc4,236900.0,236900.0,112.0
22oXPVbCf30gA4uMIvPvpP,239129.0,69552.0,132.0
23SUnSd024ACX7u1AUXsGc,6321933.0,557988.0,6.0
24YjMHwrN1di1vXrpj4z3C,203366.0,203366.0,98.0
24YjMHwrN1di1vXrpj4z3C,203366.0,54726.0,32.0
24eClW0wZh5fFEFwsUWdSG,5465084.0,569627.0,16.0
255vSRpVq5YYKBJiem1BVx,23159790.0,582880.0,4.0
25edeHHueINMguqu9emCyV,35109958.0,263976.0,1.0
26zqmmkqUK6mCc87XDzPym,12473711.0,548290.0,14.0
27AEQr4wqfHyVpwgFgnGs6,3627650.0,283176.0,69.0
27F22WcGDyl4Z2KylVJkXL,10935325.0,280889.0,14.0
27Z9T0mSWHYWSj9SNOGvyt,26833214.0,280292.0,25.0
27fqy8VruqYZlKiK1qfwEd,4172605.0,330520.0,8.0
28bxbqNcAuNxYDZYet6eZ7,26484471.0,434649.0,9.0
28ncfVOBRp3HGweSZ6Wb8C,385789.0,114290.0,173.0
29Tj2R8sZZ3fzlXZVe1OyY,5281497.0,400582.0,38.0
29VSQCxul5FNmpi4gVR7Qn,415646.0,149494.0,137.0
29cUOvKfTmx9SFDC73QHv5,496454.0,150205.0,90.0
2AA4UcXp2WRvsU9cyHT6Vy,3035667.0,245154.0,7.0
2AA5DB0Ehi28UdYrAU9xnA,1994893.0,533835.0,15.0
2AVDBKzxzTjLB91WVTfIlA,721052.0,519069.0,15.0
2Asy51yFMEG8Qjh15kvQeD,3086151.0,207708.0,125.0
2BqQ5ZM73pNugfd6NteCPe,1368566.0,134066.0,14.0
2CFC7iLurCyDYuXQcfem2l,6553009.0,243210.0,69.0
2CH9JPCmEx4F3nm6TwHPxs,146155.0,146155.0,154.0
2DeraySaI3fomlDF6S2NZa,327744.0,84191.0,101.0
2DzFmWhrnRHROJuxW5e1t2,1007923.0,160196.0,125.0
2G5ujw3rrWcAXQqT8PVnrz,1154346.0,214610.0,121.0
2GE2p2dFpxp7OIz2QOFBzW,17523943.0,923227.0,5.0
2GE2p2dFpxp7OIz2QOFBzW,17523943.0,148203.0,5.0
2Gt0kVB7kHnJZi0GTJe4Qm,668232.0,24307.0,133.0
2I9QJOvD1lamK9tHffY4La,284763.0,163945.0,104.0
2Jaaw8PrdUfPlU6o6tL5dl,16689255.0,157975.0,3.0
2JuHIbFudHwDqQssgqsH3i,22961143.0,674619.0,6.0
2LX16d9LWQxmlUiOfxHKYO,312626.0,85910.0,69.0
2LhaQUFez282XCuTDSTDcV,2244727.0,235390.0,10.0
2MFqzQ3eJPM1dHCaioyU1s,438925.0,160603.0,139.0
2MT5rzYA4ZPCRZlbXyV660,83362.0,42563.0,168.0
2MjpqyEA73TzenhDmj0RFN,2099991.0,76921.0,57.0
2Nwi8X3bmgKU1zMQUsDTah,180591.0,95823.0,144.0
2OBZtEg8DXhICWYd6yvicf,894309.0,192516.0,53.0
2P9M7q49JXnwiab4TosOpW,889931.0,29437.0,78.0
2PYDUM2IC01FOTDLQdFxJP,19993724.0,195632.0,27.0
2Pwou3Q2Cf59RxdX2V6MgV,7173596.0,749823.0,10.0
2QCbYz4XN9mzi5LJBuB3iP,133691.0,133691.0,165.0
2QUU1AtY5fndKDNbr17EFk,4298371.0,384388.0,10.0
2QpMK4mvdyFW5N0JYohVdW,330950.0,42832.0,106.0
2QyOYFAxW2khNYee4yeT6r,1528683.0,171246.0,16.0
2SjNAO9lrQYRlXJK5pXWcn,18784.0,18784.0,147.0
2SmnoPHetB88xJwC6HJHGv,2568673.0,387295.0,23.0
2SqS42nIu3vLVYOaFelbar,92794.0,92794.0,177.0
2TqjLbM2E5I4ce6iWTdXly,847922.0,79636.0,123.0
2VHXCihhlSC2lUFoCaemRN,6274509.0,252786.0,13.0
2VqK7TIkcS7QYyubTvXqOW,371886.0,40054.0,130.0
2X2mIfNW5ZtLmVgpm9rgUX,1069718.0,228428.0,34.0
2YuINjtFaEi9E9WRv90bK6,1263804.0,573422.0,14.0
2ZJTmYNOA8k21yUtLXJG57,6353598.0,517456.0,2.0
2Zos792uWaDCqqnmPaBH1x,309503.0,126918.0,35.0
2a5hng9yXtbjtTVVm9UviC,21984313.0,473030.0,21.0
2axlAOp86SPuqSBlwLw4WM,408278.0,83526.0,47.0
2axlAOp86SPuqSBlwLw4WM,408278.0,14662.0,28.0
2bCmM1oT89JOpA8EdDJ51g,44336.0,44336.0,119.0
2bxVMMRP6AHvUVXHQrIBy9,325516.0,71829.0,73.0
2cHvbenIXJdO2yYWQry26q,677003.0,58941.0,92.0
2cJyuhqcXvd6ccvAn8NXsL,5574152.0,191321.0,62.0
2ctmaWoBxLBYiZB7AKmK1D,4034281.0,337851.0,33.0
2dPJtlvoa3GDowCh035M8P,4403453.0,387220.0,47.0
2dURSB1lDn5qiOyHLEZ34I,56576.0,24417.0,9.0
2ddbldKhKrYvOBbYa87cbj,6159361.0,532444.0,13.0
2e6uyFP80Vuaz7V7bDWD0e,1865274.0,337380.0,42.0
2fDFssQASymjUb2B3XYdpf,1125617.0,214165.0,86.0
2fxGSbMxakUf8XUd00rmED,3959681.0,78476.0,99.0
2g68ePl7VMltuOiuSTAz7I,2299459.0,183099.0,50.0
2gJJvC4a3BJogzRciwTZU8,171033.0,171033.0,195.0
2gT5LL3uRANxvvmDxaULbQ,3825976.0,37629.0,4.0
2hLg1Pbi7UFMGGBqOPY5Rb,43644.0,43644.0,167.0
2jcdws2044suWnDo8DTcKC,143534.0,143534.0,200.0
2kauMp3YNHXULGXyJh4321,16616182.0,843856.0,9.0
2kenOIzz3AlVKF7wGqzH3F,130850.0,68834.0,115.0
2klsSb2iTfgDh95Ak9uWY2,5048914.0,142463.0,17.0
2lGGlexu72TnPQPUHd8NWt,415353.0,98855.0,61.0
