id,date,vn_position,vn_stream_count,global_position,global_stream_count
0RKggS4he8LozKqMv09IrM,Peak,41.0,321176.0,,
0RRaMSF6sPNAvMTntUiv8m,Total,,489570.0,,
0RRaMSF6sPNAvMTntUiv8m,Peak,99.0,195904.0,,
0SLzsfxED15vyUccX4bCqo,Total,,10685430.0,,
0SLzsfxED15vyUccX4bCqo,Peak,5.0,1012873.0,,
0SMpkybKsjUeONDdUCW69e,Total,,690612.0,,
0SMpkybKsjUeONDdUCW69e,Peak,120.0,181847.0,,
0SipHvQl82LyuU4t9Zkf8Z,Total,,737016.0,,
0SipHvQl82LyuU4t9Zkf8Z,Peak,144.0,154121.0,,
0SmQ0UWeiHKQtxUej4Rem6,Total,,10367966.0,,
0SmQ0UWeiHKQtxUej4Rem6,Peak,6.0,236333.0,,
0TAEZOaoZx5LBXEkePNrt4,Total,,279358.0,,
0TAEZOaoZx5LBXEkePNrt4,Peak,48.0,103658.0,,
0TOsszupHDNUvzadopZv3A,Total,,53131.0,,
0TOsszupHDNUvzadopZv3A,Peak,178.0,53131.0,,
0TTJufXrJgRZUUV7brd2hT,Total,,206049.0,,
0TTJufXrJgRZUUV7brd2hT,Peak,35.0,93495.0,,
0TcbY7JJzalPExhhqpgAQM,Total,,416278.0,,
0TcbY7JJzalPExhhqpgAQM,Peak,130.0,158581.0,,
0UkWvPZauWiBjWGuXFhZQn,Total,,430510.0,,
0UkWvPZauWiBjWGuXFhZQn,Peak,144.0,37168.0,,
0VBv6oyMgeEBOIysaSV9aE,Total,,84987.0,,
0VBv6oyMgeEBOIysaSV9aE,Peak,180.0,84987.0,,
0WjdaO545q9Qn4SQtzRQu9,Total,,873687.0,,
0WjdaO545q9Qn4SQtzRQu9,Peak,72.0,279661.0,,
0X28PqBpbQhWdi4usYw0w5,Total,,17568429.0,,
0X28PqBpbQhWdi4usYw0w5,Peak,3.0,1216757.0,,
0Y2ipMuhAlOnIkTXcCKWlL,Total,,180300.0,,
0Y2ipMuhAlOnIkTXcCKWlL,Peak,156.0,180300.0,,
