album,album_type,album_popularity,artists,disc_number,duration_ms,explicit,id,name,popularity,track_number,release_date,genres,stream_counts
NÓI ĐI EM CẦN GÌ (Christmas Version),single,1,['MANBO'],1,131491,False,6OaHMX11CJigfeyQf97jxl,NÓI ĐI EM CẦN GÌ - Christmas Version,3,1,2021-12-03,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",13739.0
EP Manbo,single,5,['MANBO'],1,163810,False,3RxWedA3nCN14nlqCO4z1p,100%,3,6,2022-11-23,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",37723.0
Em Ở Đâu (Cm1X Remix),single,0,"['MANBO', 'CM1X']",1,212571,False,0vni4GIRfTZbTNS4wICWsj,Em Ở Đâu - Cm1X Remix,3,1,2021-07-05,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",16801.0
EP Manbo,single,5,['MANBO'],1,129020,False,0Hzn7xblhH1ggIWT0B8Eng,Số Dư Nhà Bank,3,4,2022-11-23,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",36588.0
EP Manbo,single,5,['MANBO'],1,163240,False,5dfmxQYxdYCJFIq1haiQ4W,5%,3,5,2022-11-23,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",32963.0
Em Ở Đâu (Cm1X Remix),single,0,"['MANBO', 'CM1X']",1,57142,False,0xB0PBuhOoejM5gD74wkqW,Em Ở Đâu - Cm1X Remix,2,1,2021-07-05,"['vietnamese hip hop', 'v-pop', 'vietnam indie', 'vietnamese lo-fi']",129990.0
EP Manbo,single,5,['MANBO'],1,163149,False,3dwACPTleTE6mu14fHKyhL,Điểm Đến,2,1,2022-11-23,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",20731.0
M8Nlights Remix,single,0,"['MANBO', 'Woozy Nguyen']",1,182400,False,7qSdLdJQC8qgSFzgCA730K,Em Ở Đâu - Woozy Nguyen Remix,1,1,2021-08-31,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",8980.0
Em Ở Đâu,single,12,['MANBO'],1,57714,False,4qaXK2RUgD1JLPfK4odlqc,Em Ở Đâu - Tiktok Version,0,2,2021-06-01,"['vietnamese hip hop', 'v-pop', 'vietnam indie']",16350.0
M8Nlights Remix,single,0,"['MANBO', 'Nguyen T.P']",1,181301,False,2DcLyW3ObI1NH2R7DUqRQu,Em Ở Đâu - Nguyen T.P Remix,0,2,2021-08-31,"['vietnam indie', 'v-pop', 'vietnamese', 'male vocalist', 'vietnamese hip hop', 'pop']",16737.0
Tập 14: The Masked Singer Vietnam mùa 2,single,47,"['The Masked Singer', 'Lâm Bảo Ngọc', 'Hứa Kim Tuyền']",1,303968,False,3K7RddI2L8Wiv7uIbrhfLc,Rồi Em Sẽ Gặp Một Chàng Trai Khác,56,4,2023-11-12,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",21194741.0
Sài Gòn Đau Lòng Quá,single,35,"['Hứa Kim Tuyền', 'Hoàng Duyên']",1,308689,False,6IkNu9xwCD3ei9gaAfbPXA,Sài Gòn Đau Lòng Quá,44,1,2021-03-28,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",14966484.0
Finding You,single,28,"['Chi Pu', 'Hứa Kim Tuyền']",1,191000,False,0g7d8Y9Y2BP8qFZDzngnSz,Finding You,38,1,2024-05-23,"['v-pop', 'vinahouse', 'vietnam indie', 'vietnamese lo-fi']",2599914.0
Chị Đẹp Đạp Gió 2024 - Công Diễn 1,album,40,"['Chị Đẹp Đạp Gió Rẽ Sóng', 'Minh Hang', 'Ngọc Thanh Tâm', 'Misthy', 'Đồng Ánh Quỳnh', 'Hứa Kim Tuyền']",1,242000,False,0oUxOhHLGvJbxQijUqNIwh,MỘNG YU,31,6,2024-11-16,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",133223.0
Vọng Nguyệt,single,21,"['Hoàng Duyên', 'Hứa Kim Tuyền']",1,246000,False,1pA1YGhjZDnADYBQ7mk3GH,Vọng Nguyệt,31,1,2022-08-03,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",689041.0
Chị Đẹp Đạp Gió 2024 - Công Diễn 1,album,40,"['Chị Đẹp Đạp Gió Rẽ Sóng', 'Phạm Quỳnh Anh', 'Phương Thanh', 'Thảo Trang', 'Vũ Ngọc Anh', 'Hứa Kim Tuyền', 'Hino']",1,211166,False,1udaAZrfTkOoaV7e4hZC5n,BOM HẸN GIỜ,30,2,2024-11-16,"['vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese bolero', 'vietnamese lo-fi']",124874.0
COLOURS,album,36,"['Hứa Kim Tuyền', 'CeCe Trương', 'Cẩm Vân']",1,261000,False,5ap1VOUjU78WpQY1htU5x9,"một ngày tôi quên hết (feat. Cẩm Vân, CeCe Trương)",26,7,2022-05-31,"['v-pop', 'vietnamese bolero', 'vietnam indie', 'vietnamese lo-fi']",1950619.0
một ngày tôi quên hết,single,17,"['Hứa Kim Tuyền', 'Cẩm Vân', 'CeCe Trương']",1,262500,False,2bxVMMRP6AHvUVXHQrIBy9,một ngày tôi quên hết,26,1,2022-02-22,"['v-pop', 'vietnamese bolero', 'vietnam indie', 'vietnamese lo-fi']",1950619.0
những tổn thương đã qua,single,24,['Hứa Kim Tuyền'],1,83000,False,2x4csa3nxD68QgTgLYBLQt,rồi sẽ ổn cả thôi mà,25,4,2022-12-20,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",983402.0
Đôi Giày Không Vừa Size (hơi chật một chút),single,16,"['Orange', 'Hứa Kim Tuyền']",1,198000,False,0egmYkEzqcGieugkNc91iA,Đôi Giày Không Vừa Size - hơi chật một chút,25,1,2024-02-14,"['vinahouse', 'vietnam indie', 'v-pop', 'vietnamese hip hop', 'vietnamese lo-fi']",353190.0
"Trạm 1: Xuân Hạ Thu Đông, rồi lại Xuân 2",album,38,"['Forest Studio', 'Hứa Kim Tuyền']",1,300000,False,7m1HNdxlXhTeBvzf7jna2a,Bàn Kế Bên - Live Ver. at XHTĐRLX,25,7,2022-11-10,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']",130089.0
